               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086814,            0.037985,            0.025527,             0.52821,             0.37744,             0.25708,            0.095596,             0.06049,            0.025338,            0.020591,             0.07024,           0.0033067,           0.0033067
                   1,            0.061058,            0.031176,            0.015709,             0.70277,             0.37433,             0.39676,             0.16587,            0.059478,            0.021829,            0.010233,            0.040021,           0.0064209,           0.0064209
                   2,             0.05709,            0.029068,           0.0093323,             0.78276,              0.4374,              0.4883,             0.24959,            0.052414,            0.020799,            0.007292,           0.0095818,           0.0093151,           0.0093151
                   3,            0.050548,            0.028783,           0.0071874,              0.8808,             0.51241,             0.56658,             0.31519,            0.042244,            0.022173,           0.0066168,             0.00901,             0.00901,             0.00901
                   4,            0.045303,            0.028114,           0.0062505,             0.90564,             0.52668,             0.58774,             0.32245,            0.039487,            0.020263,            0.008815,             0.00901,             0.00901,             0.00901
                   5,            0.043169,            0.027868,           0.0056489,             0.92576,             0.53785,             0.59658,             0.34734,            0.037408,            0.020049,           0.0055324,             0.00868,             0.00868,             0.00868
                   6,            0.041641,            0.027403,           0.0054971,             0.93724,             0.54681,             0.60646,             0.35954,            0.035172,            0.019589,           0.0048152,             0.00835,             0.00835,             0.00835
                   7,            0.040351,            0.027292,           0.0048542,             0.94005,             0.55087,             0.60709,             0.36254,            0.035729,            0.019513,           0.0046049,             0.00802,             0.00802,             0.00802
                   8,            0.038931,            0.026947,           0.0046268,             0.92684,             0.55828,             0.60629,             0.36364,            0.034269,             0.01924,           0.0048408,             0.00769,             0.00769,             0.00769
                   9,            0.037363,             0.02649,           0.0043582,             0.93718,             0.55801,              0.6072,             0.34496,            0.035446,             0.01949,           0.0049808,             0.00736,             0.00736,             0.00736
                  10,            0.036743,            0.025862,           0.0040842,             0.94742,             0.55524,             0.61311,             0.37042,            0.033519,            0.019198,           0.0044404,             0.00703,             0.00703,             0.00703
                  11,            0.036252,            0.025764,           0.0036515,              0.9363,             0.56351,             0.61262,             0.37662,             0.03374,            0.019038,           0.0046863,              0.0067,              0.0067,              0.0067
                  12,            0.035467,            0.025513,           0.0037731,              0.9441,             0.57477,             0.61775,             0.37814,              0.0329,            0.018601,            0.004343,             0.00637,             0.00637,             0.00637
                  13,            0.034908,            0.025112,           0.0033667,             0.94044,             0.57416,             0.61658,             0.37847,            0.032601,            0.019129,           0.0044419,             0.00604,             0.00604,             0.00604
                  14,            0.034544,            0.024466,           0.0033252,             0.94624,             0.56429,             0.61832,             0.38203,            0.032225,            0.018805,           0.0046096,             0.00571,             0.00571,             0.00571
                  15,             0.03431,            0.024979,           0.0031837,             0.60768,              0.5755,             0.61832,             0.38426,            0.032358,            0.018949,           0.0045541,             0.00538,             0.00538,             0.00538
                  16,            0.033662,            0.024673,           0.0032117,             0.61472,             0.57772,             0.61917,             0.38808,            0.031708,            0.018914,           0.0044128,             0.00505,             0.00505,             0.00505
                  17,            0.032994,            0.024137,           0.0028463,             0.61351,             0.57273,             0.61989,              0.3903,            0.031924,             0.01896,           0.0044465,             0.00472,             0.00472,             0.00472
                  18,            0.032907,            0.024061,           0.0028114,             0.61481,             0.56885,             0.62061,              0.3911,             0.03168,            0.018737,           0.0045618,             0.00439,             0.00439,             0.00439
                  19,            0.032021,            0.023861,           0.0027367,             0.61109,             0.57626,             0.61985,             0.38996,            0.031522,            0.018661,           0.0045358,             0.00406,             0.00406,             0.00406
                  20,            0.032173,            0.023647,           0.0027711,             0.60892,             0.57851,             0.61977,             0.39174,            0.031684,            0.018796,           0.0048603,             0.00373,             0.00373,             0.00373
                  21,            0.031669,            0.023515,           0.0025862,             0.61333,             0.58036,             0.62413,             0.39458,            0.031587,            0.018647,           0.0044687,              0.0034,              0.0034,              0.0034
                  22,            0.031226,            0.023004,            0.002339,             0.61465,             0.57633,             0.62568,             0.39753,            0.031018,            0.018671,           0.0050141,             0.00307,             0.00307,             0.00307
                  23,            0.030892,            0.023235,           0.0023441,               0.609,             0.58512,             0.62598,              0.4005,            0.031136,            0.018964,           0.0044921,             0.00274,             0.00274,             0.00274
                  24,            0.030694,            0.022991,           0.0021963,             0.60484,             0.59037,             0.62534,             0.40249,            0.030873,            0.018627,           0.0044811,             0.00241,             0.00241,             0.00241
                  25,            0.030864,            0.022534,           0.0022793,             0.61047,              0.5882,              0.6263,             0.40087,            0.030916,            0.018728,           0.0045188,             0.00208,             0.00208,             0.00208
                  26,            0.030193,            0.022601,           0.0022184,             0.61158,             0.59037,             0.62742,             0.40267,            0.030727,            0.018684,           0.0045873,             0.00175,             0.00175,             0.00175
                  27,             0.02982,            0.022563,           0.0019947,             0.61005,             0.58625,             0.62727,               0.404,            0.030593,            0.018609,           0.0046661,             0.00142,             0.00142,             0.00142
                  28,            0.030107,            0.022605,           0.0019653,             0.61495,             0.58441,              0.6279,             0.40485,            0.030671,            0.018615,           0.0046747,             0.00109,             0.00109,             0.00109
                  29,            0.029486,            0.021965,           0.0019432,             0.60615,             0.59273,              0.6278,             0.40509,            0.030507,            0.018699,            0.004546,             0.00076,             0.00076,             0.00076
